url,name,price_idr,sold_count,rating,brand,cpu,cpu_full,ram_gb,storage_raw,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu,gpu_type,os,battery_hours,condition,error
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e6420-core-i7-ram-4gb-hdd-320gb-dvd-win-10-murah,Laptop Dell Latitude E6420 Core i7 RAM 4GB HDD 320GB DVD Win 10 Murah,3400000,6,5,Dell,,,,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e6430-core-i7-ram-8gb-320gb-dvd-murah-mulus-ram-8gb-ssd-256,Laptop Dell Latitude E6430 Core i7 RAM 8GB 320GB DVD Murah Mulus - RAM 8GB SSD 256,3850000,60,4.9,Dell,i7 3540M,intel Core i7 3540M 3.0 GHz RAM 8GB DDR3 Harddisk 320,8,,,,No,,1600x900,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e6440-corei5-4300m-4gb-murah-mulus-good,Laptop Dell Latitude e6440 - Corei5 4300M - 4GB - Murah Mulus - GOOD,3400000,13,4.9,Dell,i5 4300M,Intel Core i5 4300M 2.6 GHz RAM 4GB DDR3 Harddisk 500,4,,,,No,,HD,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e6540-core-i7-ram-8gb-ssd-240gb-vga-2gb-murah-8gb-ssd-240gb,Laptop Dell Latitude E6540 Core i7 RAM 8GB SSD 240GB VGA 2GB Murah - 8GB SSD 240GB,6499000,30,4.9,Dell,i7 4600M,Intel Core i7 4600M 2.7GHz GHz RAM 8GB DDR3L SSD 240G,8,SSD 240GB “ Fast Booting “ VGA intel 46,240,SSD,No,15.6,HD,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7240-core-i7-ssd-128gb-touchscreen-full-hd,Laptop Dell Latitude E7240 - Core i7 - SSD 128GB - Touchscreen Full HD,6000000,5,4.2,Dell,i7 4600u,Intel Core i7 4600u 2.10 GHz RAM 4GB DDR3 Harddisk SS,4,SSD 128GB WEBCAM VGA intel HD 4600 Touc,128,SSD,No,,1920x1080,,Yes,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7250-corei7-5600-8gb-ssd-128-full-hd-touchscreen,Laptop Dell Latitude e7250 Corei7 5600 8GB SSD 128 Full HD Touchscreen,6499000,,,Dell,i7 5600u,Intel Core i7 5600u 2.6 GHz RAM 8GB DDR3 Harddisk SSD,8,SSD 128GB WEBCAM VGA intel HD 5600 Keyb,128,SSD,No,,1920x1080,,Yes,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7250-touchscreen-full-hd-core-i5-5300u-8gb-murah,Laptop Dell Latitude e7250 TouchScreen Full HD Core i5 5300u 8GB Murah,4699000,14,4.5,Dell,i5 5300u,Intel Core i5 5300u 2.30 GHz RAM 8GB DDR3L SSD 256GB,8,SSD 256GB “ Fast Booting “ WEBCAM VGA i,256,SSD,No,5,1920x1080,,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7270-core-i5-6300-8gb-ssd-256-touch-full-hd-slim-ssd-256gb,Laptop Dell Latitude E7270 Core i5 6300 8GB SSD 256 Touch Full HD Slim - SSD 256GB,3499000,50,4.9,Dell,,,8,SSD 180GB / 256 GB/ 512GB “ Fast Boot “,180,SSD,No,12.5,1920x1080,IPS,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7270-core-i5-gen6-8gb-ssd-256-murah-slim-ssd-128gb-8-gb,"Laptop Dell Latitude E7270 - Core i5 Gen6 - 8GB - SSD 256 - Murah Slim - SSD 128GB, 8 gb",2799000,30,4.9,Dell,,,8,SSD 256 GB“ Fast Boot “ VGA INTEL HD 550,256,SSD,No,12.5,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e7270-core-i7-gen-6-8gb-ssd-256-murah-slim,Laptop Dell Latitude E7270 Core i7 Gen 6 - 8GB - SSD 256 - Murah Slim,3599000,40,5,Dell,,,8,SSD 256 GB“ Fast Boot “ VGA INTEL HD 520,256,SSD,No,12.5,HD,,No,,Integrated,,2,Used,
